Material,Description,ProdLoc,BinSize,Qty,ProductionLine,StationCode,,,,,,
RE4375834,XT2 Ekip Hi-Touch LSIG 100A III IEC/UL,XT2 XT4 ATO.B.3.3,L,24,XT2 XT4 ATO,ST 140,,,,,,
RP0273001,CAP SCREW RT21017/M4x14,XT2 XT4 ATO.B.2.1,S,2000,XT2 XT4 ATO,ST 140,,,,,,
RA5405805,FRONT COVER XT2 3P,XT2 XT4 ATO.B.1.1,M,150,XT2 XT4 ATO,ST 140,,,,,,
RA5498805,FRONT COVER XT4,XT2 XT4 ATO.B.1.2,M,150,XT2 XT4 ATO,ST 140,,,,,,
RA5529001,OPERATING LEVER PROTECTION XT4,XT2 XT4 ATO.B.1.3,M,500,XT2 XT4 ATO,ST 140,,,,,,
RA6031002,Operating Lever - Breaking Part,XT2 XT4 ATO.B.1.4,M,500,XT2 XT4 ATO,ST 140,,,,,,
N722EP21020W5,"STL THD ROLLING SCR, SLOTTED HEX, 1.25L",XT2 XT4 ATO.C.1.1,S,1500,XT2 XT4 ATO,ST 4 ,,,,,,
N722EP21006W5,"STL THD ROLLING SCR, SLOTTED HEX, 3/8L",XT2 XT4 ATO.C.1.2,S,1500,XT2 XT4 ATO,ST 4 ,,,,,,
4600298504P002,M6X16 LOW PROFILE SOCKET HD CAP SCR,XT2 XT4 ATO.C.1.3,XS,500,XT2 XT4 ATO,st 3,,,,,,
N721P13006W27,6-32 X .375 PHIL PAN HD THD ROLL SCR,XT2 XT4 ATO.C.1.4,XS,500,XT2 XT4 ATO,st 3,,,,,,
N758P9006W5,4-40 X .375 FLAT HEAD PHILLIPS SCREW,XT2 XT4 ATO.C.1.5,XS,500,XT2 XT4 ATO,st 3,,,,,,
L15EP17020W5,METRIC HEX SOCKET HD CAP SCR,XT2 XT4 ATO.C.1.6,XS,500,XT2 XT4 ATO,st 3,,,,,,
L12P12100B70,"METRIC PAN HD MACH SCR, M4X100",XT2 XT4 ATO.C.2.1,S,300,XT2 XT4 ATO,st 35,,,,,,
3000085385P001,"LABEL, ROUND, A",XT2 XT4 ATO.C.2.2,M,35000,XT2 XT4 ATO,st 34 ,,,,,,
3000085386P001,"LABEL, ROUND, B",XT2 XT4 ATO.C.2.3,M,35000,XT2 XT4 ATO,st 34 ,,,,,,
3000085387P001,"LABEL, ROUND, C",XT2 XT4 ATO.C.2.4,M,35000,XT2 XT4 ATO,st 34 ,,,,,,
3000393827P002,"FILLER SUPPORT ANGLE, XT2",XT2 XT4 ATO.C.3.1,M,100,XT2 XT4 ATO,st 3,,,,,,
RB3347801,KIT FRONT TERM COVER 3P XT4,XT2 XT4 ATO.C.3.2,M,305,XT2 XT4 ATO,st 3,,,,,,
RB6969001,INSULATING PLATE XT2 3P,XT2 XT4 ATO.C.3.3,M,315,XT2 XT4 ATO,st 35,,,,,,
3000293827P001,"FILLER SUPPORT BRACKET, XT2",XT2 XT4 ATO.C.4.1,L,100,XT2 XT4 ATO,st 3,,,,,,
RA5873927,KIT PHASE BARRIERS 3P 25MM UL XT2 XT4,XT2 XT4 ATO.C.4.2,L,350,XT2 XT4 ATO,st 35,,,,,,
RA5880002,TASSELLO_MORSETTI_UL,XT2 XT4 ATO.C.4.3,L,1000,XT2 XT4 ATO,st 34,,,,,,
RB3346801,KIT FRONT TERM COVER 3P XT2,XT2 XT4 ATO.D.1.1,L,450,XT2 XT4 ATO,st 3,,,,,,
RB6968001,INSULATING PLATE XT4 3P,XT2 XT4 ATO.D.1.2,L,500,XT2 XT4 ATO,st 35,,,,,,
RB6592901,KIT_ASSIEME_UNICO_XT2_III_AB,XT2 XT4 ATO.D.2.1,L,135,XT2 XT4 ATO,,,,,,,
RB6593901,KIT_ASSIEME_UNICO_XT4_III_AB,XT2 XT4 ATO.D.2.2,L,155,XT2 XT4 ATO,,,,,,,
RA8490813,GR_ASS_AUX_250V_SALD_SA51_CAB300_IEC/UL,XT2 XT4 ATO.D.3.1,L,20,XT2 XT4 ATO,,,,,,,
RB6593902,KIT_ASSIEME_UNICO_XT4_IV (AB),XT2 XT4 ATO.D.3.2,L,135,XT2 XT4 ATO,,,,,,,
1000453R0001,WARNING BASE CB (AB),XT2 XT4 ATO.E.1.1,S,500,XT2 XT4 ATO,,,,,,,
160220006,Vite speciale testa bassa M8x10,XT2 XT4 ATO.E.1.2,S,800,XT2 XT4 ATO,,,,,,,
1SDR001965A1809,NEW XT2-4 EKIP COM Hub F/P/W,XT2 XT4 ATO.E.1.3,S,10,XT2 XT4 ATO,,,,,,,
1SDR001965A1811,NEW XT2-4 Ekip COM PROFINET F/P/W,XT2 XT4 ATO.E.1.4,S,10,XT2 XT4 ATO,,,,,,,
1SDR001965A1813,NEW XT2-4 Ekip COM IEC61850 F/P/W,XT2 XT4 ATO.E.1.5,S,10,XT2 XT4 ATO,,,,,,,
1SDR001965A1814,NEW XT2-4 Ekip LINK F/P/W,XT2 XT4 ATO.E.1.6,S,1,XT2 XT4 ATO,,,,,,,
1SDR005182A1807,XT4 1/2KIT LUGS 1x350Kcmil 2pcs UL,XT2 XT4 ATO.E.2.1,S,5,XT2 XT4 ATO,,,,,,,
28544,KIT LABEL DRAW. RN0377001,XT2 XT4 ATO.E.2.2,S,1000,XT2 XT4 ATO,,,,,,,
3000243437P2,FINGERSAFE BARRIER LUG ASSY 1SDA075861R1,XT2 XT4 ATO.E.2.3,S,5,XT2 XT4 ATO,,,,,,,
3000276457P001,XT4 LOAD COVER,XT2 XT4 ATO.E.2.4,S,250,XT2 XT4 ATO,,,,,,,
RA0074010,SIDE LASER LABEL XT4 (MOV),XT2 XT4 ATO.E.2.5,S,2000,XT2 XT4 ATO,,,,,,,
RA5772801,ASSIEME_1+1_C_AUX_400V_CAB600_IEC/UL,XT2 XT4 ATO.E.2.6,S,3,XT2 XT4 ATO,,,,,,,
RA5907801,PARTE_MOBILE_XT4_III,XT2 XT4 ATO.E.3.1,S,4,XT2 XT4 ATO,,,,,,,
RA7737901,ASS_RHD_XT2_XT4,XT2 XT4 ATO.E.3.2,S,2,XT2 XT4 ATO,,,,,,,
RA8440809,SOR_ASSEMBLY_24_30V_CAB300_IEC/UL,XT2 XT4 ATO.E.3.3,S,3,XT2 XT4 ATO,,,,,,,
RA8440812,ASS_BA_220_250V_CAB300_IEC/UL,XT2 XT4 ATO.E.3.4,S,3,XT2 XT4 ATO,,,,,,,
RA8440814,SOR_ASSEMBLY_480_525V_CAB600_IEC/UL,XT2 XT4 ATO.E.3.5,S,3,XT2 XT4 ATO,,,,,,,
RA8442811,UVR_ASS 110-127V_CAB300_IEC/UL,XT2 XT4 ATO.E.3.6,S,4,XT2 XT4 ATO,,,,,,,
RA8490806,25_ASS_AUX_24V_SALD_1SY+1Q_CAB300_IEC/UL,XT2 XT4 ATO.E.4.1,S,3,XT2 XT4 ATO,,,,,,,
RA8490814,GR_ASS_AUX_24V_SALD_SA51_CAB300_IEC/UL,XT2 XT4 ATO.E.4.2,S,1,XT2 XT4 ATO,,,,,,,
RB7436801,ASS.MORSETTO CAVI CuAl XT2 UL,XT2 XT4 ATO.E.4.3,S,150,XT2 XT4 ATO,,,,,,,
7686,ROS AC EL DIN137 RT-T22120/8  A,XT2 XT4 ATO.E.4.4,XS,3000,XT2 XT4 ATO,st 34,,,,,,
7966,SCREW TC ACC RT-T21010/5X8,XT2 XT4 ATO.F.1.1,XS,2000,XT2 XT4 ATO,,,,,,,
9603,"WASHER ACC RT-T22000/5,3X10",XT2 XT4 ATO.F.1.2,XS,500,XT2 XT4 ATO,,,,,,,
4600406021P001,"M6 STEEL SAFETY WASHER, BELLEVILLE",XT2 XT4 ATO.F.1.3,XS,500,XT2 XT4 ATO,,,,,,,
817001006,POLYTHENE BAG 250x145,XT2 XT4 ATO.F.1.4,XS,500,XT2 XT4 ATO,,,,,,,
D6A15B1,GREASE RHEOLUBE 368,XT2 XT4 ATO.F.1.5,XS,500,XT2 XT4 ATO,,,,,,,
L401P27W5,METRIC STL HELICAL SPR LOCK WSHR- M8,XT2 XT4 ATO.F.1.6,XS,500,XT2 XT4 ATO,,,,,,,
RB7305001,DATA MATRIX P.I. XT2 XT4,XT2 XT4 ATO.F.2.1,XS,500,XT2 XT4 ATO,,,,,,,
RB7494801,MORSETTO S3/225A(T&B),XT2 XT4 ATO.F.2.2,XS,500,XT2 XT4 ATO,,,,,,,
RB7494802,MORSETTO_225A_P.T.(P&B),XT2 XT4 ATO.F.2.3,XS,35,XT2 XT4 ATO,,,,,,,
RP0051001,SCREW-M3X12,XT2 XT4 ATO.F.2.4,XS,500,XT2 XT4 ATO,,,,,,,
RP0058001,SELF-TA SCREW ACC RT21578/3X12 XT2-XT4,XT2 XT4 ATO.F.2.5,XS,1000,XT2 XT4 ATO,,,,,,,
163009801,MORSETTO S2-3-4 100A,XT2 XT4 ATO.F.3.1,M,500,XT2 XT4 ATO,,,,,,,
1SDH000719R0806,KIT SHEET FCCU AL TERM CABLE,XT2 XT4 ATO.F.3.2,M,600,XT2 XT4 ATO,,,,,,,
1SDR001963A1801,XT2-4 Ekip COM MODBUS TCP S.Alone F/P,XT2 XT4 ATO.F.3.3,M,12,XT2 XT4 ATO,,,,,,,
1SDR001965A1812,NEW XT2-4 Ekip COM ETHERNET/IP F/P/W,XT2 XT4 ATO.F.3.4,M,4,XT2 XT4 ATO,,,,,,,
1SDR003280A1801,XT2 3P KIT FC 10-2-0 AWG UL AUXV,XT2 XT4 ATO.F.4.1,M,50,XT2 XT4 ATO,,,,,,,
1SQC900010M0201,RELIAGEAR NEXT - SERVICE ENTRANCE KIT,XT2 XT4 ATO.F.4.2,M,500,XT2 XT4 ATO,,,,,,,
30018022559P004,RGXT LABEL BLANK 3 X 1,XT2 XT4 ATO.F.4.3,M,12500,XT2 XT4 ATO,,,,,,,
RA0074006,TARGHETTA LATERALE PER LASER XT2,XT2 XT4 ATO.F.4.4,M,7400,XT2 XT4 ATO,,,,,,,
RA0074007,TARGHETTA LATERALE PER LASER XT4,XT2 XT4 ATO.G.1.1,M,5000,XT2 XT4 ATO,,,,,,,
RA0074009,TARGHETTA LATERALE PER LASER XT2,XT2 XT4 ATO.G.1.2,M,5000,XT2 XT4 ATO,,,,,,,
RA5244803,PADLOCK XT2 XT4,XT2 XT4 ATO.G.1.3,M,50,XT2 XT4 ATO,,,,,,,
RA5244804,PADLOCK ON OPEN XT2 XT4,XT2 XT4 ATO.G.1.4,M,50,XT2 XT4 ATO,,,,,,,
RA5498906,GRUPPO_FRONTALE_IV_XT4_(AB),XT2 XT4 ATO.G.2.1,M,50,XT2 XT4 ATO,,,,,,,
RA5545814,BL_CH_AP(CH_UGUALI_A)_XT2_XT4,XT2 XT4 ATO.G.2.2,M,3,XT2 XT4 ATO,,,,,,,
RA5769801,AUX-C3QL250Vac/dcXT2-XT4F/P_CAB300IEC/UL,XT2 XT4 ATO.G.2.3,M,8,XT2 XT4 ATO,,,,,,,
RA5852905,KIT FRONT TERMINALS XT2 3P,XT2 XT4 ATO.G.2.4,M,40,XT2 XT4 ATO,,,,,,,
RA5852906,KIT FRONT TERMINALS XT43P,XT2 XT4 ATO.G.3.1,M,35,XT2 XT4 ATO,,,,,,,
RA5852908,KIT FRONT TERMINALS_XT4_IV,XT2 XT4 ATO.G.3.2,M,10,XT2 XT4 ATO,,,,,,,
RA5862001,TASSELLO_PER_MORSETTO_AL,XT2 XT4 ATO.G.3.3,M,200,XT2 XT4 ATO,,,,,,,
RA6133813,CLAMP FcCuAl 1/2KIT XT4 2pcs 4-300AWG,XT2 XT4 ATO.G.3.4,M,30,XT2 XT4 ATO,,,,,,,
RA6912803,MOE XT2-XT4 110V_IEC/UL,XT2 XT4 ATO.G.4.1,M,2,XT2 XT4 ATO,,,,,,,
RA6912806,MOE-E XT2-XT4 24VdcREMOTE CONTROL_IEC/UL,XT2 XT4 ATO.G.4.2,M,2,XT2 XT4 ATO,,,,,,,
RA8490807,GR_AS_AUX_250V_SALD_1SY+2Q_CAB300_IEC/UL,XT2 XT4 ATO.G.4.3,M,10,XT2 XT4 ATO,,,,,,,
RA8490812,GR_AUX_250V_SAL_2SY+2Q+S51_CAB300_IEC/UL,XT2 XT4 ATO.G.4.4,M,10,XT2 XT4 ATO,,,,,,,
RB2899859,TRIP UNIT _XT4_TMF_III_R90_UL,XT2 XT4 ATO.H.1.1,M,15,XT2 XT4 ATO,,,,,,,
RB3345001,FRONT TERM COVER UL 4P XT4,XT2 XT4 ATO.H.1.2,M,500,XT2 XT4 ATO,,,,,,,
RB6754001,INSULATING PLATE XT4 4P,XT2 XT4 ATO.H.1.3,M,50,XT2 XT4 ATO,,,,,,,
1SDR001965A1810,NEW XT2-4 Ekip COM MODBUS TCP F/P/W,XT2 XT4 ATO.H.2.1,L,14,XT2 XT4 ATO,,,,,,,
1SDR002227A1801,XT2-XT4 Ekip Modbus RTU Stand alone F/P,XT2 XT4 ATO.H.2.2,L,20,XT2 XT4 ATO,,,,,,,
1SDR004095A1801,XT2-4 Ekip COM MODBUS RTU APPL.,XT2 XT4 ATO.H.3.1,L,100,XT2 XT4 ATO,,,,,,,
1SDR005182A1801,XT4 1/2KIT LUGS 1x350Kcmil 3P UL,XT2 XT4 ATO.H.3.2,L,85,XT2 XT4 ATO,,,,,,,
1SDR003250A1801,XT2 3P KIT FC 10-2-0 AWG UL,XT2 XT4 ATO.H.4.1,L,100,XT2 XT4 ATO,,,,,,,
3000273564P,SPD BRACKET FOR XT4 IN SPD LOAD SIDE,XT2 XT4 ATO.H.4.2,L,55,XT2 XT4 ATO,,,,,,,
RA0074008,TARGHETTA LATERALE PER LASER XT4,XT2 XT4 ATO.I.1.1,L,10000,XT2 XT4 ATO,,,,,,,
RA5405905,ASSIEME_FRONTALE_III XT2_(AB),XT2 XT4 ATO.I.1.2,L,180,XT2 XT4 ATO,,,,,,,
RA5772802,ASSIEME_2Q_C_AUX_400V_CAB600_IEC/UL,XT2 XT4 ATO.I.2.1,L,25,XT2 XT4 ATO,,,,,,,
RA5852801,1/2KIT_ASS_TERM_FRONT_XT2_III,XT2 XT4 ATO.I.2.2,L,105,XT2 XT4 ATO,,,,,,,
RA5871802,KIT HIGH TERMINAL COVER III,XT2 XT4 ATO.I.3.1,L,15,XT2 XT4 ATO,,,,,,,
RA5873815,1/2KIT_SEP_FASE_III_25mm UL,XT2 XT4 ATO.I.3.2,L,600,XT2 XT4 ATO,,,,,,,
RA5888802,KIT HIGH TERM COVER III,XT2 XT4 ATO.J.1.1,L,10,XT2 XT4 ATO,,,,,,,
RA5960805,1/2KIT ASS_TERM_FcCu_XT2_III_UL,XT2 XT4 ATO.J.1.2,L,200,XT2 XT4 ATO,,,,,,,
RA8111807,KIT INSTALL W/ FLANGE XT4 3P,XT2 XT4 ATO.J.2.1,L,35,XT2 XT4 ATO,,,,,,,
RA8111820,KIT INSTALL W/O FLANGE XT2 UL,XT2 XT4 ATO.J.2.2,L,100,XT2 XT4 ATO,,,,,,,
RA8440811,SOR_ASSEMBLY_110_127V_CAB300_IEC/UL,XT2 XT4 ATO.J.3.1,L,30,XT2 XT4 ATO,,,,,,,
